PRECINCTID20,PRES20R,PRES20L,PRES20D,SEN20R,SEN20L,SEN20D,CONG20R,CONG20L,CONG20D,STSEN20R,STSEN20D
720136,514,20,209,513,24,201,0,0,0,0,0
720137,267,5,260,253,9,255,0,0,0,0,0
720138,70,2,57,62,2,60,0,0,0,0,0
720139,145,10,259,133,17,254,0,0,0,0,0
720140,99,9,222,89,7,220,0,0,0,0,0
720141,653,20,293,599,24,307,0,0,0,0,0
720142,508,12,111,485,12,129,0,0,0,0,0
720143,412,16,169,379,23,169,0,0,0,0,0
720144,779,31,427,728,40,431,0,0,0,0,0
720145,870,20,288,846,33,285,0,0,0,0,0
720146,584,25,230,554,24,245,0,0,0,0,0
720147,110,5,192,104,11,179,0,0,0,0,0
720148,347,13,179,323,22,185,0,0,0,0,0
720149,324,13,148,290,12,157,0,0,0,0,0
720150,1513,21,412,1468,36,427,0,0,0,0,0
720151,232,5,135,226,8,129,0,0,0,0,0
720152,883,24,318,847,41,326,0,0,0,0,0
720153,722,22,234,696,25,235,0,0,0,0,0
720154,786,19,304,747,24,317,0,0,0,0,0
720155,1277,21,346,1258,30,357,0,0,0,0,0
720156,222,12,229,214,18,220,0,0,0,0,0
720157,1149,22,325,1138,24,319,0,0,0,0,0
720158,567,23,219,551,22,231,0,0,0,0,0
720159,608,20,284,590,31,283,0,0,0,0,0
720160,529,25,451,502,36,452,0,0,0,0,0
720161,173,12,292,167,16,273,0,0,0,0,0
720162,97,1,33,95,0,30,0,0,0,0,0
720163,431,14,308,432,12,299,0,0,0,0,0
720164,191,4,120,177,12,123,0,0,0,0,0
720165,285,16,120,276,21,118,0,0,0,0,0
720166,774,22,277,743,32,278,0,0,0,0,0
720167,910,14,181,891,11,198,0,0,0,0,0
720168,468,11,227,463,15,225,0,0,0,0,0
720169,305,15,240,288,23,238,0,0,0,0,0
720170,523,12,105,515,12,105,0,0,0,0,0
720171,438,14,184,436,17,175,0,0,0,0,0
720172,450,14,223,432,16,229,0,0,0,0,0
720173,566,13,238,558,21,230,0,0,0,0,0
720174,0,0,0,0,0,0,0,0,0,0,0
720175,0,0,0,0,0,0,0,0,0,0,0
720176,0,0,0,0,0,0,0,0,0,0,0
720351,1717,40,424,1654,67,416,0,0,0,0,0
720352,724,15,138,698,28,136,0,0,0,0,0
720353,165,2,26,154,3,31,0,0,0,0,0
720354,154,1,31,149,2,30,0,0,0,0,0
720355,179,3,51,172,8,48,0,0,0,0,0
720356,222,3,42,214,8,48,0,0,0,0,0
720400,1244,22,311,1182,42,327,0,0,0,0,0
720401,1095,17,256,1069,31,261,0,0,0,0,0
720402,879,20,234,831,34,248,0,0,0,0,0
720403,1364,30,412,1298,49,427,0,0,0,0,0
720404,792,8,184,770,17,186,0,0,0,0,0
720405,195,1,50,191,3,54,0,0,0,0,0
720406,838,20,194,804,24,209,0,0,0,0,0
720407,1108,23,221,1067,33,236,0,0,0,0,0
720408,964,21,206,917,32,221,0,0,0,0,0
720409,905,24,274,853,38,300,0,0,0,0,0
720410,580,5,119,577,5,116,0,0,0,0,0
720411,520,16,126,491,19,140,0,0,0,0,0
720451,607,25,245,575,25,245,0,0,0,0,0
720452,1055,30,366,1019,52,353,0,0,0,0,0
720453,645,16,244,621,17,252,0,0,0,0,0
720454,833,26,391,807,35,385,0,0,0,0,0
720455,405,15,156,392,15,161,0,0,0,0,0
720456,646,21,202,602,27,216,0,0,0,0,0
720457,61,1,34,58,2,33,0,0,0,0,0
720458,1145,31,374,1101,35,397,0,0,0,0,0
720459,491,20,149,467,21,150,0,0,0,0,0
720460,672,17,161,646,29,165,0,0,0,0,0
720461,607,28,239,571,38,247,0,0,0,0,0
720462,995,32,365,943,46,376,0,0,0,0,0
720463,584,16,205,552,27,220,0,0,0,0,0
720464,1166,26,315,1109,34,325,0,0,0,0,0
720465,843,28,520,818,32,512,0,0,0,0,0
720466,773,17,255,736,23,268,0,0,0,0,0
720467,462,13,176,446,14,180,0,0,0,0,0
720468,949,26,381,903,34,399,0,0,0,0,0
720469,253,9,79,246,14,76,0,0,0,0,0
720470,813,15,399,787,21,401,0,0,0,0,0
720471,446,3,139,437,8,138,0,0,0,0,0
720472,416,8,142,394,17,149,0,0,0,0,0
720473,587,15,210,559,33,208,0,0,0,0,0
720474,909,19,348,872,28,363,0,0,0,0,0
720475,1210,33,459,1160,40,467,0,0,0,0,0
720476,514,9,127,487,14,137,0,0,0,0,0
720501,798,12,137,745,27,164,0,0,0,0,0
720502,1255,30,286,1158,48,318,0,0,0,0,0
720503,759,12,176,703,22,200,0,0,0,0,0
720504,913,23,226,865,24,245,0,0,0,0,0
720551,227,2,86,212,8,90,0,0,0,0,0
720552,508,9,96,460,15,118,0,0,0,0,0
720553,249,8,62,228,9,65,0,0,0,0,0
720700,1029,24,313,1006,32,312,0,0,0,0,0
720701,1125,17,400,1070,32,415,0,0,0,0,0
720702,592,19,250,573,22,251,0,0,0,0,0
720703,1226,27,389,1180,42,400,0,0,0,0,0
720704,1627,34,398,1557,55,414,0,0,0,0,0
720705,815,25,297,760,30,309,0,0,0,0,0
720706,1397,38,393,1293,57,439,0,0,0,0,0
720707,696,9,234,654,19,246,0,0,0,0,0
720708,808,11,207,759,24,221,0,0,0,0,0
720709,848,19,280,811,40,275,0,0,0,0,0
720710,354,6,46,338,5,58,0,0,0,0,0
720750,856,23,253,821,33,246,0,0,0,0,0
720751,978,33,283,947,31,291,0,0,0,0,0
720752,967,21,243,927,34,251,0,0,0,0,0
720753,598,16,203,556,23,217,0,0,0,0,0
720754,1029,24,317,963,41,325,0,0,0,0,0
720755,1476,50,421,1380,76,456,0,0,0,0,0
720756,100,4,25,89,4,32,0,0,0,0,0
720757,1477,34,401,1369,66,448,0,0,0,0,0
720758,543,15,139,506,27,155,0,0,0,0,0
720759,834,23,255,785,28,283,0,0,0,0,0
720760,902,22,265,841,45,276,0,0,0,0,0
720801,579,21,145,547,22,166,0,0,0,0,0
720802,424,5,126,401,11,127,0,0,0,0,0
720851,554,18,218,531,28,225,0,0,0,0,0
720852,366,20,204,333,28,221,0,0,0,0,0
720853,550,13,151,512,26,164,0,0,0,0,0
720854,1082,17,278,1021,34,300,0,0,0,0,0
720855,1055,22,235,1001,34,243,0,0,0,0,0
720856,1206,27,330,1139,40,352,0,0,0,0,0
720857,639,22,213,599,31,232,0,0,0,0,0
720858,424,13,91,399,16,102,0,0,0,0,0
720880,970,8,178,911,30,192,0,0,0,0,0
720881,569,16,122,530,17,140,0,0,0,0,0
720900,1180,24,171,1112,40,205,0,0,0,0,0
729999,26759,1153,45406,26868,1088,44743,0,0,0,0,0
730101,609,11,214,562,23,213,0,0,0,0,0
730102,780,12,199,728,24,219,0,0,0,0,0
730103,1557,35,754,1507,62,747,0,0,0,0,0
730104,0,0,0,0,0,0,0,0,0,0,0
730105,9,0,1,9,0,1,0,0,0,0,0
730106,1527,52,747,1461,68,758,0,0,0,0,0
730107,1399,31,509,1341,51,518,0,0,0,0,0
730108,868,16,266,839,17,268,0,0,0,0,0
730109,1192,11,272,1161,15,264,0,0,0,0,0
730201,1161,13,321,1090,34,345,0,0,0,0,0
730202,1298,24,266,1231,38,293,0,0,0,0,0
730203,1154,20,368,1064,38,406,0,0,0,0,0
730204,704,9,242,653,19,259,0,0,0,0,0
730205,118,2,24,110,2,28,0,0,0,0,0
730206,43,0,7,40,0,8,0,0,0,0,0
730207,245,7,216,223,9,224,0,0,0,0,0
730208,1453,35,479,1329,46,541,0,0,0,0,0
730209,316,3,116,309,8,116,0,0,0,0,0
730210,948,25,253,891,28,277,0,0,0,0,0
730301,1219,21,463,1184,32,471,0,0,0,0,0
730302,1433,19,440,1389,30,451,0,0,0,0,0
730303,669,24,222,644,26,230,0,0,0,0,0
730304,954,31,375,892,40,398,0,0,0,0,0
730305,102,3,31,94,6,34,0,0,0,0,0
730306,1558,25,438,1473,44,465,0,0,0,0,0
730307,1113,12,234,1063,21,249,0,0,0,0,0
730308,900,14,217,848,26,241,0,0,0,0,0
730309,1031,29,319,973,33,345,0,0,0,0,0
730310,415,4,85,395,15,88,0,0,0,0,0
730311,255,1,69,252,3,67,0,0,0,0,0
730312,831,12,203,818,13,208,0,0,0,0,0
730313,304,2,114,290,5,119,0,0,0,0,0
740011,695,21,299,684,16,303,0,0,0,0,0
740012,226,6,89,219,7,90,0,0,0,0,0
740013,737,14,251,694,31,255,0,0,0,0,0
740015,932,34,328,893,31,336,0,0,0,0,0
740022,1731,56,704,1737,62,689,0,0,0,0,0
740027,365,6,142,357,10,146,0,0,0,0,0
740028,1794,47,694,1735,62,684,0,0,0,0,0
740031,1165,43,708,1109,57,701,0,0,0,0,0
740033,413,21,226,381,31,228,0,0,0,0,0
740046,395,12,162,369,14,171,0,0,0,0,0
740048,579,27,244,559,26,244,0,0,0,0,0
740051,964,16,321,929,27,332,0,0,0,0,0
740054,1174,41,458,1130,45,466,0,0,0,0,0
740062,1061,16,251,1010,38,262,0,0,0,0,0
740071,812,9,117,777,17,126,0,0,0,0,0
740073,488,5,76,474,10,80,0,0,0,0,0
740074,400,9,70,394,9,67,0,0,0,0,0
740075,619,15,124,592,17,130,0,0,0,0,0
740076,423,9,91,404,16,91,0,0,0,0,0
740077,735,12,134,680,19,164,0,0,0,0,0
740078,605,10,144,565,22,160,0,0,0,0,0
740079,613,8,114,568,17,132,0,0,0,0,0
740711,150,8,43,157,5,41,0,0,0,0,0
750003,133,2,23,130,3,26,0,0,0,0,0
750004,728,9,156,691,20,168,0,0,0,0,0
750007,339,5,28,328,9,32,0,0,0,0,0
750009,234,2,16,228,3,19,0,0,0,0,0
750012,248,7,35,236,4,45,0,0,0,0,0
750014,540,5,60,514,8,74,0,0,0,0,0
750016,468,10,64,440,21,74,0,0,0,0,0
750017,209,5,24,200,5,28,0,0,0,0,0
750018,245,3,39,239,3,41,0,0,0,0,0
750019,393,4,42,368,7,60,0,0,0,0,0
750020,207,1,33,196,6,39,0,0,0,0,0
750030,342,6,78,317,9,96,0,0,0,0,0
760001,800,30,186,759,35,207,0,0,0,0,0
760002,526,9,82,515,8,84,0,0,0,0,0
760003,307,6,93,293,7,102,0,0,0,0,0
760004,150,2,27,145,3,28,0,0,0,0,0
760005,985,17,182,922,27,221,0,0,0,0,0
760008,225,2,21,217,4,25,0,0,0,0,0
770101,582,9,123,561,17,115,0,0,0,0,0
770102,350,12,76,340,10,81,0,0,0,0,0
770104,4,0,0,4,0,0,0,0,0,0,0
770105,828,17,67,784,18,91,0,0,0,0,0
770106,104,1,5,104,0,6,0,0,0,0,0
770201,774,15,150,734,25,168,0,0,0,0,0
770202,1081,34,237,1034,38,252,0,0,0,0,0
770203,482,4,41,466,7,48,0,0,0,0,0
770204,218,6,21,208,11,21,0,0,0,0,0
770301,214,2,38,205,5,42,0,0,0,0,0
770302,291,4,31,276,8,39,0,0,0,0,0
770303,2,0,0,2,0,0,0,0,0,0,0
770304,208,5,25,192,8,32,0,0,0,0,0
770306,1346,16,173,1291,36,190,0,0,0,0,0
770307,127,0,18,118,2,20,0,0,0,0,0
